date	day	aircraft	helicopter	tank	APC	field artillery	MRL	military auto	fuel tank	drone	naval ship	anti-aircraft warfare	special equipment	mobile SRBM system	greatest losses direction	vehicles and fuel tanks	cruise missiles	submarines
20-04-2025	1152	370	335	10677	22271	26649	1368			33240	28	1139	3859			45274	3148	1
19-04-2025	1151	370	335	10676	22266	26600	1368			33176	28	1139	3858			45162	3148	1
18-04-2025	1150	370	335	10662	22257	26530	1367			33065	28	1136	3858			44954	3145	1
17-04-2025	1149	370	335	10654	22217	26442	1366			32925	28	1135	3807			44642	3145	1
16-04-2025	1148	370	335	10638	22163	26377	1364			32837	28	1132	3804			44472	3145	1
15-04-2025	1147	370	335	10629	22150	26290	1364			32691	28	1132	3801			44339	3145	1
14-04-2025	1146	370	335	10622	22130	26222	1362			32544	28	1130	3801			44129	3145	1
13-04-2025	1145	370	335	10603	22088	26163	1362			32425	28	1128	3799			43950	3145	1
12-04-2025	1144	370	335	10591	22055	26092	1362			32278	28	1127	3798			43807	3145	1
11-04-2025	1143	370	335	10580	22048	26043	1360			32200	28	1127	3798			43679	3145	1
10-04-2025	1142	370	335	10579	22033	25982	1359			32078	28	1127	3796			43514	3145	1
09-04-2025	1141	370	335	10576	22021	25912	1359			31973	28	1127	3792			43345	3145	1
08-04-2025	1140	370	335	10572	22011	25860	1359			31917	28	1126	3792			43227	3145	1
07-04-2025	1139	370	335	10567	21997	25817	1356			31874	28	1124	3790			43120	3145	1
06-04-2025	1138	370	335	10554	21972	25786	1354			31846	28	1124	3789			43050	3130	1
05-04-2025	1137	370	335	10541	21952	25730	1350			31778	28	1124	3788			42954	3130	1
04-04-2025	1136	370	335	10528	21932	25663	1349			31669	28	1123	3787			42841	3123	1
03-04-2025	1135	370	335	10521	21902	25625	1348			31597	28	1123	3787			42775	3123	1
02-04-2025	1134	370	335	10515	21880	25576	1347			31505	28	1123	3787			42687	3123	1
01-04-2025	1133	370	335	10505	21856	25552	1347			31462	28	1123	3787			42646	3123	1
31-03-2025	1132	370	335	10496	21819	25537	1347			31416	28	1123	3787			42593	3121	1
30-03-2025	1131	370	335	10492	21816	25507	1347			31345	28	1122	3787			42528	3121	1
29-03-2025	1130	370	335	10478	21796	25451	1345			31234	28	1122	3787			42398	3121	1
28-03-2025	1129	370	335	10455	21762	25387	1344			31070	28	1119	3787			42280	3121	1
27-03-2025	1128	370	335	10438	21701	25265	1343			30926	28	1118	3787			42070	3121	1
26-03-2025	1127	370	335	10430	21685	25207	1341			30818	28	1117	3786			41901	3121	1
25-03-2025	1126	370	335	10425	21670	25190	1341			30759	28	1117	3785			41824	3121	1
24-03-2025	1125	370	335	10420	21652	25129	1338			30641	28	1117	3785			41726	3121	1
23-03-2025	1124	370	331	10412	21636	25048	1333			30495	28	1116	3784			41610	3121	1
22-03-2025	1123	370	331	10403	21609	24944	1327			30338	28	1111	3782			41425	3121	1
21-03-2025	1122	370	331	10394	21589	24848	1324			30080	28	1111	3782			41259	3121	1
20-03-2025	1121	370	331	10377	21561	24747	1322			29895	28	1110	3780			41094	3121	1
19-03-2025	1120	370	331	10364	21523	24704	1320			29716	28	1107	3780			41003	3121	1
18-03-2025	1119	370	331	10352	21509	24640	1319			29616	28	1107	3780			40892	3121	1
17-03-2025	1118	370	331	10344	21489	24598	1318			29467	28	1104	3778			40785	3121	1
